id,name,capital
ABW,Aruba,Oranjestad
AFG,Afghanistan,Kabul
AGO,Angola,Luanda
ALB,Albania,Tirane
AND,Andorra,Andorra la Vella
ARE,United Arab Emirates,Abu Dhabi
ARG,Argentina,Buenos Aires
ARM,Armenia,Yerevan
ASM,American Samoa,Pago Pago
ATG,Antigua and Barbuda,Saint John's
AUS,Australia,Canberra
AUT,Austria,Vienna
AZE,Azerbaijan,Baku
BDI,Burundi,Bujumbura
BEL,Belgium,Brussels
BEN,Benin,Porto-Novo
BFA,Burkina Faso,Ouagadougou
BGD,Bangladesh,Dhaka
BGR,Bulgaria,Sofia
BHR,Bahrain,Manama
BHS,"Bahamas, The",Nassau
BIH,Bosnia and Herzegovina,Sarajevo
BLR,Belarus,Minsk
BLZ,Belize,Belmopan
BMU,Bermuda,Hamilton
BOL,Bolivia,La Paz
BRA,Brazil,Brasilia
BRB,Barbados,Bridgetown
BRN,Brunei Darussalam,Bandar Seri Begawan
BTN,Bhutan,Thimphu
BWA,Botswana,Gaborone
CAF,Central African Republic,Bangui
CAN,Canada,Ottawa
CHE,Switzerland,Bern
CHL,Chile,Santiago
CHN,China,Beijing
CIV,Cote d'Ivoire,Yamoussoukro
CMR,Cameroon,Yaounde
COD,"Congo, Dem. Rep.",Kinshasa
COG,"Congo, Rep.",Brazzaville
COL,Colombia,Bogota
COM,Comoros,Moroni
CPV,Cabo Verde,Praia
CRI,Costa Rica,San Jose
CUB,Cuba,Havana
CUW,Curacao,Willemstad
CYM,Cayman Islands,George Town
CYP,Cyprus,Nicosia
CZE,Czech Republic,Prague
DEU,Germany,Berlin
DJI,Djibouti,Djibouti
DMA,Dominica,Roseau
DNK,Denmark,Copenhagen
DOM,Dominican Republic,Santo Domingo
DZA,Algeria,Algiers
ECU,Ecuador,Quito
EGY,"Egypt, Arab Rep.",Cairo
ERI,Eritrea,Asmara
ESP,Spain,Madrid
EST,Estonia,Tallinn
ETH,Ethiopia,Addis Ababa
FIN,Finland,Helsinki
FJI,Fiji,Suva
FRA,France,Paris
FRO,Faroe Islands,Torshavn
FSM,"Micronesia, Fed. Sts.",Palikir
GAB,Gabon,Libreville
GBR,United Kingdom,London
GEO,Georgia,Tbilisi
GHA,Ghana,Accra
GIN,Guinea,Conakry
GMB,"Gambia, The",Banjul
GNB,Guinea-Bissau,Bissau
GNQ,Equatorial Guinea,Malabo
GRC,Greece,Athens
GRD,Grenada,Saint George's
GRL,Greenland,Nuuk
GTM,Guatemala,Guatemala City
GUM,Guam,Agana
